DULICA;ULICA;PSC;DPOSTA;POSTA;POZNAMKA;OBCE
Murgašova;Murgašova;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Na Vrštek;Na vàštek;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Nám. ¼. Štúra;Nám. ¼. Štúra;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Novomeského;Novomeského;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Ozorovská hlavná;Ozorovská hlavná;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Ozorovská nová;Ozorovská nová;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Palkovièova;Palkovièova;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Partizánska;Partizánska;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Pai;Pai;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Potoèná;Potoèná;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Pribinova;Pribinova;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Radlinského;Radlinského;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Radová;Radová;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Rastislavova;Rastislavova;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Rezáková;Rezáková;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Rokošská;Rokošská;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Rumunská;Rumunská;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Sasinkova;Sasinkova;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Sládkovièova;Sládkovièova;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Slatinská;Slatinská;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
